Uniprot Accession,Description,Gene name,# Peptides,# Unique Peptides,M1 / Ref_2965_Mito,M2 / Ref_2965_Mito,M3 / Ref_2965_Mito,M4 / Ref_2965_Mito,M5 / Ref_2965_Mito,M6 / Ref_2965_Mito,M7 / Ref_2965_Mito,M8 / Ref_2965_Mito,M9 / Ref_2965_Mito,Subcellular location [CC],Gene ontology (cellular component),Sequence Coverage [%],# PSMs
Q08979,Kelch repeat-containing protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KEL3 PE=1 SV=1,KEL3,4,4,1.662,1.51,1.753,0.925,0.875,0.782,1.078,0.98,0.655,,,4,5
P21373,NAD(+) kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTR1 PE=1 SV=2,UTR1,5,5,1.457,1.454,1.523,0.784,0.959,0.821,1.078,0.971,0.881,,cell [GO:0005623],9,5
P12685,High-affinity potassium transport protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRK1 PE=1 SV=1,TRK1,4,4,1.725,1.228,1.778,0.845,0.848,0.696,0.932,0.769,0.496,Multi-pass membrane protein.;Membrane,membrane raft [GO:0045121];plasma membrane [GO:0005886];integral component of plasma membrane [GO:0005887],4,5
P42826,Xylulose kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=XKS1 PE=1 SV=2,XKS1,5,5,0.913,0.841,0.959,1.154,0.924,0.978,0.899,1.014,0.911,Cytoplasm {ECO:0000269|PubMed:14562095}.,cytoplasm [GO:0005737],9,5
P08468,"Protein PET111, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET111 PE=1 SV=2",PET111,5,5,0.74,0.603,0.56,1.243,1.146,1.391,1.048,1.407,1.563,Mitochondrion matrix.,mitochondrial matrix [GO:0005759];mitochondrial inner membrane [GO:0005743],6,5
P38351,RNA polymerase II-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAF1 PE=1 SV=1,PAF1,5,5,0.824,1.114,0.787,1.308,1.115,0.878,1.25,1.008,0.78,"Nucleus, nucleoplasm {ECO:0000269|PubMed:15643076}.",nucleus [GO:0005634];transcriptionally active chromatin [GO:0035327];Cdc73/Paf1 complex [GO:0016593],13,5
P38068,Monothiol glutaredoxin-7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX7 PE=1 SV=1,GRX7,2,2,1.326,1.054,0.947,0.998,1.238,1.02,0.824,0.669,0.534,,Golgi apparatus [GO:0005794];Golgi lumen [GO:0005796];integral component of membrane [GO:0016021];cis-Golgi network [GO:0005801],8,5
P47124,Putative glycosyltransferase HOC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOC1 PE=1 SV=3,HOC1,4,4,1.533,1.288,1.369,0.963,0.897,0.733,1.003,0.833,0.536,"Single-pass type II membrane protein {ECO:0000269|PubMed:9055074, ECO:0000269|PubMed:9430634}.;Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:9055074, ECO:0000269|PubMed:9430634}","alpha-1,6-mannosyltransferase complex [GO:0000136]",11,5
Q08920,Nuclear cap-binding protein subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBC2 PE=1 SV=1,CBC2,5,5,1.25,1.773,1.223,1.155,1.116,0.879,1.385,0.971,0.582,"Nucleus. Cytoplasm, perinuclear region. Note=Predominantly nuclear, is able to exit the nucleus in an RNA-dependent manner.",nuclear cap binding complex [GO:0005846];perinuclear region of cytoplasm [GO:0048471];commitment complex [GO:0000243],25,5
Q08641,tRNA(Thr) (cytosine(32)-N(3))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ABP140 PE=1 SV=3,ABP140,4,4,1.314,1.361,1.338,1.113,1.17,1.201,1.275,1.199,0.99,"Cytoplasm {ECO:0000269|PubMed:9467951}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9467951}. Note=Cytoplasmic and cortical cytoskeleton.",actin filament [GO:0005884];actin filament bundle [GO:0032432];actin cortical patch [GO:0030479],6,5
P14922,General transcriptional corepressor CYC8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYC8 PE=1 SV=2,CYC8,5,5,1.004,1.358,0.972,1.113,1.569,1.152,1.418,0.86,0.537,Nucleus.,transcriptional repressor complex [GO:0017053];nucleus [GO:0005634],7,5
P22470,Protein SAN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAN1 PE=1 SV=1,SAN1,4,4,1.741,1.544,1.365,0.844,1.198,0.855,1.285,0.822,0.592,,nucleus [GO:0005634];cytoplasm [GO:0005737],12,5
P32614,Fumarate reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRD1 PE=1 SV=1,FRD1,5,5,1.317,1.248,1.364,0.959,1.079,0.978,0.98,0.889,0.832,"Cytoplasm {ECO:0000269|PubMed:8946166, ECO:0000269|PubMed:9587404}.",cytosol [GO:0005829],14,5
P26754,Replication factor A protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFA2 PE=1 SV=1,RFA2,4,4,1.355,1.769,1.381,1.223,1.337,0.912,1.477,1.12,0.695,Nucleus.,"condensed nuclear chromosome [GO:0000794];DNA replication factor A complex [GO:0005662];chromosome, telomeric region [GO:0000781]",25,5
P18408,Phosphoadenosine phosphosulfate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET16 PE=1 SV=2,MET16,4,4,2.13,1.704,2.139,0.253,0.306,0.327,0.689,0.498,0.413,,cytosol [GO:0005829];cytoplasm [GO:0005737],26,5
P47049,UBX domain-containing protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBX6 PE=1 SV=1,UBX6,5,5,0.769,1.106,1.179,0.927,0.875,1.124,1.367,0.852,0.553,,nucleus [GO:0005634],10,5
Q06178,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NMA1 PE=1 SV=1,NMA1,4,3,1.017,1.374,1.091,1.052,1.024,0.566,1.249,0.892,0.498,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],12,5
P36024,Phosphopantothenoylcysteine decarboxylase subunit SIS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIS2 PE=1 SV=1,SIS2,5,4,1.545,1.345,1.629,0.564,0.809,0.719,0.927,0.8,0.798,Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}.,cytoplasm [GO:0005737];nucleus [GO:0005634];phosphopantothenoylcysteine decarboxylase complex [GO:0071513];CoA-synthesizing protein complex [GO:1990143],8,5
P29295,Casein kinase I homolog HRR25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HRR25 PE=1 SV=1,HRR25,4,3,1.445,1.513,1.289,0.681,0.847,0.668,0.919,0.673,0.409,"Cytoplasm {ECO:0000269|PubMed:12628929}. Nucleus, nucleolus {ECO:0000269|PubMed:12628929}. Nucleus, nucleoplasm {ECO:0000269|PubMed:12628929}.","cellular bud tip [GO:0005934];chromosome, centromeric region [GO:0000775];Golgi apparatus [GO:0005794];monopolin complex [GO:0033551];nucleolus [GO:0005730];nucleoplasm [GO:0005654];nucleus [GO:0005634];phagophore assembly site [GO:0000407];plasma membrane [GO:0005886];preribosome, small subunit precursor [GO:0030688];spindle pole body [GO:0005816];cellular bud neck [GO:0005935]",11,5
P38902,DNA-directed RNA polymerase II subunit RPB11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPB11 PE=1 SV=1,RPB11,5,5,1.625,1.466,1.356,0.867,1.09,0.951,0.937,0.762,0.507,Nucleus.,"DNA-directed RNA polymerase II, core complex [GO:0005665]",43,5
Q05530,Glutaredoxin-like protein YDR286C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR286C PE=3 SV=1,,3,3,0.783,0.637,0.524,1.049,1.099,1.267,1.109,1.32,1.688,,,22,5
P36149,Trafficking protein particle complex subunit BET3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BET3 PE=1 SV=1,BET3,5,5,1.758,1.553,1.692,0.84,0.909,0.821,1.012,0.898,0.696,"Golgi apparatus, cis-Golgi network. Endoplasmic reticulum. Preautophagosomal structure.",endoplasmic reticulum [GO:0005783];phagophore assembly site [GO:0000407];TRAPPI protein complex [GO:1990070];TRAPPII protein complex [GO:1990071];TRAPPIII protein complex [GO:1990072];cis-Golgi network membrane [GO:0033106],21,5
P32461,2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPH2 PE=1 SV=1,DPH2,5,5,1.466,1.503,1.58,1.059,1.272,1.159,1.256,1.126,1.135,Cytoplasm {ECO:0000269|PubMed:14562095}.,cytoplasm [GO:0005737],12,5
Q03868,Sporulation-specific protein 71 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPO71 PE=3 SV=1,SPO71,3,3,1.462,1.068,1.551,0.704,0.673,0.616,1.137,0.851,0.575,,prospore membrane [GO:0005628];plasma membrane [GO:0005886],2,5
P38255,Transcriptional regulatory protein RXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RXT2 PE=1 SV=2,RXT2,4,4,0.686,1.275,0.928,1.632,1.48,1.064,1.411,0.813,0.586,Nucleus {ECO:0000269|PubMed:14562095}.,cytosol [GO:0005829];nucleus [GO:0005634];Rpd3L complex [GO:0033698];Clr6 histone deacetylase complex I'' [GO:1990483],15,5
P40528,Protein SYG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SYG1 PE=1 SV=1,SYG1,5,5,1.564,1.146,1.414,0.752,0.786,0.887,0.734,0.706,0.76,Multi-pass membrane protein {ECO:0000269|PubMed:7592711}.;Cell membrane {ECO:0000269|PubMed:7592711},plasma membrane [GO:0005886];integral component of membrane [GO:0016021],8,5
P40344,Autophagy-related protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG3 PE=1 SV=1,ATG3,4,4,1.077,1.025,1.021,1.621,1.264,1.013,1.307,1.157,0.951,"Cytoplasm {ECO:0000269|PubMed:11149920, ECO:0000269|PubMed:14562095}.",cytosol [GO:0005829];phagophore [GO:0061908];phagophore assembly site [GO:0000407];cytoplasmic ubiquitin ligase complex [GO:0000153],20,5
P53378,Tubulin gamma chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUB4 PE=1 SV=1,TUB4,4,4,0.878,1.283,1.073,1.138,1.542,1,1.333,0.872,0.566,"Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body.","inner plaque of spindle pole body [GO:0005822];microtubule [GO:0005874];outer plaque of spindle pole body [GO:0005824];gamma-tubulin small complex, spindle pole body [GO:0000928]",14,5
P38179,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG3 PE=1 SV=1",ALG3,3,3,1.158,1.086,1.225,1.077,0.949,0.666,1.045,0.76,0.415,Multi-pass membrane protein {ECO:0000305}.;Endoplasmic reticulum membrane {ECO:0000305},endoplasmic reticulum membrane [GO:0005789];integral component of membrane [GO:0016021];endoplasmic reticulum [GO:0005783],6,5
P38202,UPF0642 protein YBL028C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBL028C PE=1 SV=1,,4,2,0.967,1.065,0.925,0.879,0.747,0.464,0.841,0.518,0.253,,,27,5
P38765,Uncharacterized isomerase YHI9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHI9 PE=1 SV=1,YHI9,3,3,0.977,0.823,0.809,0.761,0.994,0.869,1.009,0.897,0.936,,,18,5
Q07915,Ribosome biogenesis protein RLP24 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RLP24 PE=1 SV=1,RLP24,3,3,1.041,1.322,1.176,0.863,0.718,0.555,0.982,0.614,0.394,Cytoplasm {ECO:0000269|PubMed:12808088}. Nucleus {ECO:0000269|PubMed:12808088}. Note=Shuttles between the nucleus and the cytoplasm.,"nucleolus [GO:0005730];preribosome, large subunit precursor [GO:0030687];cytosolic large ribosomal subunit [GO:0022625]",16,5
P40986,Cell division control protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC1 PE=1 SV=2,CDC1,5,5,1.55,1.193,1.424,0.91,0.83,0.733,0.823,0.765,0.51,Multi-pass membrane protein.;Membrane,integral component of membrane [GO:0016021];endoplasmic reticulum [GO:0005783],16,5
P47103,Peptidyl-prolyl cis-trans isomerase CYP7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPR7 PE=1 SV=1,CPR7,4,4,1.314,1.177,1.335,1.882,0.777,0.918,0.992,0.903,0.8,,cytosol [GO:0005829],7,5
P25043,Proteasome subunit beta type-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUP1 PE=1 SV=1,PUP1,4,4,1.085,1.185,1.257,0.765,0.878,0.752,0.853,0.751,0.557,Cytoplasm. Nucleus.,"nucleus [GO:0005634];proteasome core complex, beta-subunit complex [GO:0019774];proteasome storage granule [GO:0034515];endoplasmic reticulum membrane [GO:0005789]",16,5
Q05863,"Uncharacterized peptide chain release factor-like protein YLR281C, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR281C PE=1 SV=1",,4,4,0.451,0.362,0.347,1.521,1.178,1.555,0.75,1.073,1.233,Mitochondrion {ECO:0000269|PubMed:14562095}.,mitochondrion [GO:0005739];mitochondrial large ribosomal subunit [GO:0005762],28,5
P32774,Transcription initiation factor IIA subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOA2 PE=1 SV=1,TOA2,4,4,1.062,1.605,1.213,1.544,1.551,1.07,1.38,1.014,0.616,Cytoplasm {ECO:0000269|PubMed:10525531}. Nucleus {ECO:0000269|PubMed:10525531}. Note=Imported to nucleus via interaction with KAP122.,transcription factor TFIIA complex [GO:0005672];cytoplasm [GO:0005737],29,5
Q08967,Flavin carrier protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FLC1 PE=1 SV=1,FLC1,4,4,2.762,0.653,0.919,1.041,1.045,1.028,0.504,0.636,0.511,Multi-pass membrane protein {ECO:0000269|PubMed:16717099}.;Endoplasmic reticulum membrane {ECO:0000269|PubMed:16717099},endoplasmic reticulum membrane [GO:0005789];integral component of membrane [GO:0016021];endoplasmic reticulum [GO:0005783],6,5
P36069,Probable phosphoglycerate mutase PMU1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMU1 PE=1 SV=1,PMU1,4,4,1.06,1.056,1.093,1.201,1.225,1.151,0.97,0.98,0.697,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],15,5
Q06137,"Putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase YLR345W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR345W PE=1 SV=1",,3,3,1.048,1.029,1.035,1.153,1.187,1.112,1.223,1.003,0.759,Cytoplasm {ECO:0000269|PubMed:14562095}.,cytoplasm [GO:0005737],7,5
P14681,Mitogen-activated protein kinase KSS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KSS1 PE=1 SV=1,KSS1,4,2,1.456,1.615,1.442,1.326,1.901,1.376,1.557,0.865,0.669,Nucleus {ECO:0000269|PubMed:11781566}. Cytoplasm {ECO:0000269|PubMed:11781566}. Periplasm {ECO:0000269|PubMed:11781566}. Note=KSS1 shuttles rapidly between the cytoplasm and the nucleus independent of its activation state.,cytoplasm [GO:0005737];nucleus [GO:0005634];periplasmic space [GO:0042597];cellular bud neck [GO:0005935],12,5
Q92316,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OST5 PE=1 SV=2,OST5,3,3,1.399,1.107,1.236,0.783,0.674,0.571,0.978,0.737,0.479,Multi-pass membrane protein {ECO:0000250}.;Endoplasmic reticulum membrane {ECO:0000250},oligosaccharyltransferase complex [GO:0008250];oligosaccharyltransferase I complex [GO:0034998];integral component of membrane [GO:0016021],24,5
P48412,Nonsense-mediated mRNA decay protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UPF3 PE=1 SV=1,UPF3,5,5,1.033,1.303,1.259,0.612,0.687,0.68,0.742,0.666,0.553,Nucleus {ECO:0000269|PubMed:11502169}.,nucleolus [GO:0005730];nucleus [GO:0005634];polysome [GO:0005844];cytoplasm [GO:0005737],16,5
P48365,GTPase-activating protein GYP7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GYP7 PE=1 SV=1,GYP7,5,5,0.862,0.758,0.74,1.42,1.35,1.342,1.27,1.385,1.27,,intracellular [GO:0005622];endomembrane system [GO:0012505],8,5
P46950,Nitrosoguanidine resistance protein SNG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNG1 PE=1 SV=1,SNG1,4,4,0.859,0.669,0.713,1.275,1.159,1.22,0.978,1.211,1.409,Multi-pass membrane protein {ECO:0000305}.;Membrane {ECO:0000305},plasma membrane [GO:0005886];integral component of membrane [GO:0016021],10,5
P39104,Phosphatidylinositol 4-kinase PIK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIK1 PE=1 SV=1,PIK1,5,5,1.55,1.065,1.448,0.844,0.897,1.002,1.009,0.993,1.016,Nucleus.,nucleus [GO:0005634];trans-Golgi network [GO:0005802];membrane [GO:0016020],5,5
P38109,Putative serine carboxypeptidase YBR139W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR139W PE=1 SV=1,,4,4,1.48,1.314,1.652,0.863,0.809,0.86,0.943,0.9,0.723,,fungal-type vacuole lumen [GO:0000328],10,5
P53743,Pre-rRNA-processing protein ESF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ESF2 PE=1 SV=1,ESF2,4,4,0.77,1.859,0.854,0.962,0.967,0.524,1.247,0.803,0.439,"Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.",nucleolus [GO:0005730],10,5
P13712,Chromatin assembly factor 1 subunit p50 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSI1 PE=1 SV=1,MSI1,3,3,0.821,1.192,1.038,1.191,1.473,1.068,1.23,0.834,0.65,Cytoplasm {ECO:0000269|PubMed:11238915}. Nucleus {ECO:0000269|PubMed:11238915}.,cytoplasm [GO:0005737];nucleus [GO:0005634];CAF-1 complex [GO:0033186],13,5
Q12301,Uncharacterized membrane protein YDL180W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDL180W PE=1 SV=1,,5,5,1.254,1.003,1.361,0.833,0.856,0.789,0.769,0.702,0.647,Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.;Vacuole membrane {ECO:0000269|PubMed:14562095},vacuolar membrane [GO:0005774];integral component of membrane [GO:0016021],16,5
P53335,Protein PXR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PXR1 PE=1 SV=1,PXR1,5,5,0.72,1.804,0.971,0.764,0.832,0.681,1.038,0.621,0.432,"Nucleus, nucleolus {ECO:0000269|PubMed:12107183, ECO:0000269|PubMed:14562095}.",nucleoplasm [GO:0005654];nucleolus [GO:0005730],20,5
Q12408,Phosphatidylglycerol/phosphatidylinositol transfer protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPC2 PE=1 SV=1,NPC2,2,2,2.023,1.885,2.317,1.365,1.602,1.276,0.918,0.86,0.761,Vacuole {ECO:0000269|PubMed:14562095}.,fungal-type vacuole lumen [GO:0000328],8,5
P39931,Protein SSP120 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSP120 PE=1 SV=1,SSP120,4,4,1.728,1.539,1.44,1.535,1.52,1.32,1.35,1.149,0.867,,,18,5
Q03322,t-SNARE affecting a late Golgi compartment protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TLG1 PE=1 SV=1,TLG1,2,2,1.455,1.608,1.523,1.273,1.496,1.229,1.289,1.077,0.971,"Single-pass type IV membrane protein {ECO:0000305}. Early endosome membrane {ECO:0000305};Single-pass type IV membrane protein {ECO:0000305}. Late endosome membrane {ECO:0000305};Single-pass type IV membrane protein {ECO:0000305}. Note=Probably shuttling between TGN and early/late endosome.;Golgi apparatus, trans-Golgi network membrane {ECO:0000305}",endosome [GO:0005768];integral component of membrane [GO:0016021];late endosome membrane [GO:0031902];SNARE complex [GO:0031201];trans-Golgi network [GO:0005802];early endosome membrane [GO:0031901],8,5
P50086,Probable 26S proteasome regulatory subunit p28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAS6 PE=1 SV=1,NAS6,4,4,1.313,1.287,1.512,1.158,1.139,0.973,1.181,1.069,0.762,,nucleus [GO:0005634];cytosol [GO:0005829],14,5
P32584,Protein-S-isoprenylcysteine O-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE14 PE=1 SV=1,STE14,2,2,1.446,1.202,1.352,1.015,0.858,0.682,1.12,0.839,0.489,Multi-pass membrane protein {ECO:0000305}.;Membrane {ECO:0000305},integral component of membrane [GO:0016021];nuclear inner membrane [GO:0005637];endoplasmic reticulum membrane [GO:0005789],10,5
Q05788,Purine nucleoside phosphorylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PNP1 PE=1 SV=1,PNP1,4,4,0.941,0.807,0.986,0.677,0.821,0.849,0.791,0.787,0.628,,intracellular [GO:0005622],14,5
P38925,Manganese transporter SMF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SMF1 PE=1 SV=2,SMF1,4,4,1.194,0.878,1.162,1.321,1.466,1.327,0.897,0.976,0.67,"Multi-pass membrane protein {ECO:0000269|PubMed:11027260}. Note=Targeted to the vacuolar lumen in presence of excess manganese, where it is degraded.;Cell membrane {ECO:0000269|PubMed:11027260}",plasma membrane [GO:0005886];integral component of membrane [GO:0016021],8,5
P40469,DNA repair/transcription protein MET18/MMS19 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET18 PE=1 SV=1,MET18,5,5,1.277,1.156,1.21,0.719,0.887,0.904,0.98,0.875,0.808,Nucleus {ECO:0000250}.,nucleus [GO:0005634];cytosol [GO:0005829],7,5
Q08747,Upstream activation factor subunit UAF30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UAF30 PE=1 SV=1,UAF30,4,3,1.039,1.656,1.253,1.367,1.318,0.819,1.328,0.716,0.327,"Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.",RNA polymerase I upstream activating factor complex [GO:0000500];nucleolus [GO:0005730],19,5
P38857,Mitochondrial pyruvate carrier 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MPC2 PE=1 SV=1,MPC2,2,1,0.392,0.218,0.354,1.83,1.529,1.912,0.896,1.23,1.419,Multi-pass membrane protein {ECO:0000255}.;Mitochondrion {ECO:0000269|PubMed:14562095}. Mitochondrion inner membrane {ECO:0000269|PubMed:22628558},integral component of mitochondrial inner membrane [GO:0031305],15,5
P39531,Recyclin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RCY1 PE=1 SV=4,RCY1,5,5,1.518,1.267,1.467,0.626,0.796,0.713,0.814,0.746,0.56,"Cytoplasm {ECO:0000269|PubMed:11287615}. Bud neck {ECO:0000269|PubMed:11287615}. Cell tip {ECO:0000269|PubMed:11287615}. Note=In unpolarized G1 cells this protein is found in patches in the cytoplasm, while after bud emergence it is concentrated in nascent buds and at the mother-bud neck. Accumulates at the shmoo tips of cells treated with pheromone. Localization depends on an intact actin cytoskeleton and a functional secretory pathway.",cellular bud neck [GO:0005935];cytosol [GO:0005829];endosome [GO:0005768];exocyst [GO:0000145];Golgi apparatus [GO:0005794];site of polarized growth [GO:0030427];cell tip [GO:0051286],7,5
P32899,U3 small nucleolar ribonucleoprotein protein IMP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMP3 PE=1 SV=1,IMP3,5,5,0.652,1.782,0.646,0.986,0.914,0.566,1.013,0.608,0.265,"Nucleus, nucleolus {ECO:0000269|PubMed:10409734}.",nucleoplasm [GO:0005654];small-subunit processome [GO:0032040];Mpp10 complex [GO:0034457],30,5
P36119,Uncharacterized protein YKR023W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKR023W PE=1 SV=1,,5,5,1.115,1.588,1.19,1.116,1.35,1.223,1.429,1.376,1.373,,nucleus [GO:0005634],8,5
P53939,Protein NIS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NIS1 PE=1 SV=1,NIS1,3,3,1.282,1.107,1.356,0.702,0.649,0.718,0.793,0.791,0.759,"Bud neck {ECO:0000269|PubMed:11817649}. Cytoplasm, cell cortex {ECO:0000269|PubMed:14562095}.",cellular bud neck [GO:0005935];nucleus [GO:0005634];cell cortex [GO:0005938],6,5
P23797,N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPI12 PE=1 SV=2,GPI12,4,4,1.38,1.182,1.339,0.959,0.838,0.647,1.159,0.887,0.496,Endoplasmic reticulum membrane.,integral component of membrane [GO:0016021];endoplasmic reticulum membrane [GO:0005789],11,5
